Nt,Np,L,R,v,nb_runs,mean_polarization_factor
10000,50,100.0,0.55,1.4892157657246141,200,0.2077152159258951
10000,50,100.0,0.55,13.796714741778127,200,0.20661283451785115
10000,50,100.0,0.55,4.398884125149807,200,0.20936602554413145
10000,50,100.0,0.55,14.442256264772366,200,0.20805202662705535
10000,50,100.0,0.55,14.619840295521522,200,0.2084711080474028
10000,50,100.0,0.55,14.072653206802451,200,0.2070039448886017
10000,50,100.0,0.55,10.148385339243093,200,0.20583125044054604
10000,50,100.0,0.55,6.098954251951914,200,0.20618353976635614
10000,50,100.0,0.55,7.367094418682593,200,0.20506244245390806
10000,50,100.0,0.55,14.514263023965196,200,0.20622172709888822
10000,50,100.0,0.55,11.143127082947933,200,0.20821657758006284
10000,50,100.0,0.55,5.063634172370851,200,0.20571827379438737
10000,50,100.0,0.55,9.69047000194052,200,0.2089214798422906
10000,50,100.0,0.55,11.276026246510371,200,0.20922794847085519
10000,50,100.0,0.55,12.745654271114478,200,0.20674884972782565
10000,50,100.0,0.55,4.504573192755218,200,0.20571351813638303
10000,50,100.0,0.55,2.9884472677253706,200,0.20734164551112919
10000,50,100.0,0.55,11.46943085918107,200,0.2059166020813535
10000,50,100.0,0.55,12.958679032598319,200,0.2055001818638721
10000,50,100.0,0.55,4.243302377186931,200,0.2064133073857259
10000,50,100.0,0.55,8.3562164240767,200,0.2073556594293383
10000,50,100.0,0.55,7.959386115737087,200,0.20763056137502559
10000,50,100.0,0.55,9.724336720460364,200,0.2074456858809108
10000,50,100.0,0.55,6.752004866974102,200,0.20799641499482133
10000,50,100.0,0.55,1.4270007506623892,200,0.20584571735948148
10000,50,100.0,0.55,9.163300506023885,200,0.20406892304327376
10000,50,100.0,0.55,6.82410388448383,200,0.20271808562072569
10000,50,100.0,0.55,3.6329118363898916,200,0.20982329223501986
10000,50,100.0,0.55,4.05143843322529,200,0.2058044282679792
10000,50,100.0,0.55,6.925217105538426,200,0.20376209586131963
10000,50,100.0,0.55,3.099844963349875,200,0.20451025507428525
10000,50,100.0,0.55,12.140335121145885,200,0.20515608132151844
10000,50,100.0,0.55,14.44391403921118,200,0.20626947834030432
10000,50,100.0,0.55,3.7399787183529876,200,0.20778447825411953
10000,50,100.0,0.55,11.381468677782582,200,0.20603954075191958
10000,50,100.0,0.55,10.94250675391053,200,0.20692110604544825
10000,50,100.0,0.55,13.8253709357352,200,0.20625054330177142
10000,50,100.0,0.55,12.032600726928411,200,0.20684444475984676
10000,50,100.0,0.55,2.832270986089295,200,0.20858360161582581
10000,50,100.0,0.55,8.776618158666487,200,0.20642354269029492
10000,50,100.0,0.55,7.361459016041414,200,0.21017004959653512
10000,50,100.0,0.55,8.632045392519196,200,0.20541806904786233
10000,50,100.0,0.55,2.169704249466373,200,0.20670886847746892
10000,50,100.0,0.55,12.67568501781674,200,0.20752892843377996
10000,50,100.0,0.55,1.493216204149972,200,0.20911412031002066
10000,50,100.0,0.55,7.939670089154303,200,0.2064676829532476
10000,50,100.0,0.55,6.960436971051511,200,0.20854659203798348
10000,50,100.0,0.55,1.2681464203960462,200,0.2037713290676645
10000,50,100.0,0.55,8.376972086645715,200,0.2074955736936839
10000,50,100.0,0.55,9.110808571644142,200,0.20675704053350724
10000,50,100.0,0.55,8.9843642643518,200,0.20841764983456848
10000,50,100.0,0.55,5.143665143786562,200,0.20595454796426094
10000,50,100.0,0.55,7.510774198154801,200,0.20829261544576463
10000,50,100.0,0.55,5.290889527212202,200,0.2063870362344597
10000,50,100.0,0.55,5.234276091743603,200,0.20530747854467243
10000,50,100.0,0.55,12.124055799031112,200,0.20729904783771716
10000,50,100.0,0.55,5.458983272733135,200,0.20704987226728558
10000,50,100.0,0.55,6.7418587962456344,200,0.20522050848485143
10000,50,100.0,0.55,5.64097164834765,200,0.20839999458857902
10000,50,100.0,0.55,14.65649452827731,200,0.20750478298184838
10000,50,100.0,0.55,6.312457758125143,200,0.20423275664989812
10000,50,100.0,0.55,1.6207657173531018,200,0.20567338507147298
10000,50,100.0,0.55,9.59919669352203,200,0.20828306449931255
10000,50,100.0,0.55,3.944764225404298,200,0.20623446983993157
10000,50,100.0,0.55,11.995579562447071,200,0.20899321678139723
10000,50,100.0,0.55,9.432948372091426,200,0.20785498809499858
10000,50,100.0,0.55,9.012561410418586,200,0.20712106143353584
10000,50,100.0,0.55,9.171011413297428,200,0.20645647396851782
10000,50,100.0,0.55,11.603863788951797,200,0.2069172232676274
10000,50,100.0,0.55,3.159576637057741,200,0.210446840112172

10000,50,100.0,1.5,8.6095069114736,200,0.215181541770693
10000,50,100.0,1.5,8.308997076567813,200,0.212430351378257
10000,50,100.0,1.5,13.179989757989354,200,0.21031312212232664
10000,50,100.0,1.5,10.079086534431102,200,0.21299912872306556
10000,50,100.0,1.5,6.042475962845074,200,0.21339364168157726
10000,50,100.0,1.5,5.786100855924146,200,0.21255886708122657
10000,50,100.0,1.5,7.2662652219048685,200,0.21501388013624992
10000,50,100.0,1.5,4.08509011356893,200,0.21439793064457635
10000,50,100.0,1.5,4.234036769367867,200,0.21076212982558862
10000,50,100.0,1.5,5.5602163008131145,200,0.21195825225985754
10000,50,100.0,1.5,8.09626932358722,200,0.21158460333430484
